Student_ID,Gender,Age,Branch,CGPA,Tenth_Percentage,Twelfth_Percentage,Python,Java,SQL,Excel,PowerBI,Tableau,Machine_Learning,Communication_Skill,Aptitude_Score,Projects,Internship,Certifications,LeetCode_Problems,Hackathons,Resume_Score,Placement_Readiness,Expected_Salary_LPA,Placement
1001,Female,21,BCA,8.25,61.0,70.5,Yes,Yes,Yes,Yes,No,Yes,Yes,4,5,1,Yes,4,101,5,96,72,8.0,Yes
1002,Female,20,BSc CS,8.03,90.8,60.2,Yes,No,No,No,Yes,Yes,No,4,4,3,Yes,2,176,4,98,70,7.8,Yes
1003,Female,23,BSc CS,7.48,64.7,95.0,Yes,No,No,Yes,Yes,Yes,Yes,10,6,0,Yes,6,51,3,100,78,8.5,Yes
1004,Male,20,BCA,9.09,66.2,73.5,No,Yes,Yes,Yes,Yes,No,No,6,9,5,Yes,5,166,0,100,87,9.2,Yes
1005,Female,22,BCA Data Science,7.23,62.5,94.7,No,Yes,No,No,No,Yes,No,5,5,5,No,5,299,3,97,73,8.1,Yes
1006,Male,24,BCA,9.79,65.3,78.8,Yes,Yes,Yes,Yes,No,Yes,No,7,8,3,No,4,5,5,100,84,9.0,Yes
1007,Male,24,BCA,8.8,72.9,71.2,Yes,No,Yes,No,Yes,Yes,No,10,9,4,Yes,1,191,1,100,87,9.2,Yes
1008,Male,22,BSc CS,7.6,64.3,73.8,No,Yes,Yes,Yes,Yes,Yes,No,10,4,6,Yes,1,243,4,100,72,8.0,Yes
1009,Male,20,BCA Data Science,9.25,76.1,68.0,Yes,No,No,No,No,No,Yes,5,5,0,No,0,283,1,84,65,7.4,Yes
1010,Male,20,BCA Data Science,8.54,62.2,62.6,Yes,No,Yes,Yes,No,No,Yes,8,5,5,No,1,242,3,100,75,8.2,Yes
1011,Female,23,BCA Data Science,8.33,73.5,75.6,Yes,Yes,Yes,No,No,Yes,Yes,5,5,4,No,1,216,1,94,71,7.9,Yes
1012,Male,23,BCA,9.26,62.9,90.7,Yes,Yes,Yes,Yes,Yes,Yes,No,7,7,1,No,0,84,3,92,76,8.3,Yes
1013,Male,20,BSc CS,9.48,89.8,70.8,No,Yes,Yes,No,Yes,Yes,Yes,9,6,0,Yes,4,244,4,100,78,8.5,Yes
1014,Female,21,BCA,5.84,67.1,82.6,Yes,No,Yes,Yes,Yes,Yes,No,9,8,4,No,2,104,5,84,74,8.2,Yes
1015,Female,21,BCA,7.2,85.5,71.4,No,Yes,Yes,No,Yes,Yes,Yes,8,6,1,No,0,125,2,77,64,7.3,Yes
1016,Female,21,BSc CS,9.09,86.7,83.2,Yes,No,Yes,Yes,No,Yes,Yes,9,8,1,No,2,107,5,98,82,8.8,Yes
1017,Female,24,BCA Data Science,8.23,70.0,78.6,Yes,Yes,No,No,Yes,Yes,No,10,5,5,No,1,226,4,100,75,8.2,Yes
1018,Male,20,BCA,5.98,95.9,86.3,Yes,Yes,No,Yes,No,Yes,Yes,6,6,6,Yes,2,107,5,97,76,8.3,Yes
1019,Male,20,BCA,8.85,93.6,75.4,Yes,Yes,Yes,Yes,No,Yes,Yes,9,6,6,No,6,127,2,100,78,8.5,Yes
1020,Female,24,BCA,9.25,92.6,68.5,No,No,No,Yes,Yes,Yes,Yes,7,6,2,Yes,6,142,2,100,78,8.5,Yes
1021,Female,20,BSc CS,9.54,64.4,96.9,Yes,No,Yes,Yes,No,No,No,7,8,4,Yes,3,295,1,100,84,9.0,Yes
1022,Female,22,BSc CS,7.38,79.8,90.6,Yes,No,No,Yes,No,No,Yes,9,6,4,No,5,209,2,100,78,8.5,Yes
1023,Male,24,BCA,6.05,76.0,95.7,Yes,No,No,Yes,No,No,Yes,7,10,4,No,3,226,3,84,80,8.7,Yes
1024,Male,23,BCA,8.91,96.5,88.0,Yes,No,No,Yes,Yes,No,Yes,10,5,1,Yes,0,125,3,100,75,8.2,Yes
1025,Male,24,BCA Data Science,9.31,81.9,87.3,No,No,No,Yes,Yes,Yes,Yes,10,7,1,Yes,6,265,3,100,81,8.8,Yes
1026,Female,21,BCA,9.45,64.6,65.1,No,No,No,No,No,Yes,No,7,6,6,Yes,6,141,4,100,78,8.5,Yes
1027,Female,24,BCA,7.39,87.1,68.9,No,No,Yes,Yes,Yes,Yes,No,9,5,5,Yes,0,212,3,100,75,8.2,Yes
1028,Female,23,BCA Data Science,7.29,67.9,76.0,Yes,No,No,Yes,No,No,No,10,10,3,Yes,3,112,2,100,90,9.5,Yes
1029,Female,22,BCA Data Science,7.17,85.4,90.3,Yes,No,Yes,Yes,No,Yes,Yes,9,7,1,No,1,25,2,81,69,7.8,Yes
1030,Male,21,BCA Data Science,7.46,72.8,93.4,No,No,No,Yes,No,Yes,Yes,6,5,5,Yes,6,20,0,100,75,8.2,Yes
1031,Female,24,BSc CS,8.17,69.1,78.0,Yes,Yes,No,No,No,Yes,Yes,10,10,1,No,0,296,0,89,83,8.9,Yes
1032,Female,20,BCA,9.4,74.3,95.8,Yes,Yes,Yes,Yes,No,Yes,Yes,6,8,3,No,0,259,5,99,83,8.9,Yes
1033,Female,23,BCA Data Science,9.04,64.0,96.5,No,Yes,No,Yes,No,No,No,7,10,5,No,2,125,0,100,90,9.5,Yes
1034,Male,24,BCA Data Science,8.73,81.7,85.4,No,Yes,No,No,Yes,No,Yes,6,10,2,No,2,141,4,93,85,9.1,Yes
1035,Female,24,BSc CS,5.87,87.4,78.6,Yes,No,No,No,Yes,Yes,No,5,7,5,Yes,2,297,2,90,75,8.2,Yes
1036,Male,21,BCA Data Science,6.98,97.9,80.9,No,No,No,No,No,Yes,Yes,9,5,2,Yes,5,274,5,100,75,8.2,Yes
